sample_id,live_cd19_negative,cd45_negative,cd45_positive,neutrophils,non_neutrophils,cd3_negative,cd3_positive,cd4_t_cells,cd8_t_cells
SAMP094,257321,251095,4458,863,3593,2421,988,409,444
SAMP052,347091,259075,86122,53132,32988,16341,15078,7126,6009
SAMP017,758678,537740,208467,140369,68094,12292,53758,36212,13434
SAMP046,209217,160848,46504,27435,19069,11719,6254,2872,2629
SAMP025,115716,27779,83689,56681,27007,14236,11355,6384,3039
SAMP050,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP127,176015,85543,86933,76364,10569,4402,5647,2942,2165
SAMP040,576299,538725,36244,23491,12752,7071,4655,2523,1563
SAMP063,194745,136587,56149,39461,16688,5694,8971,4586,2963
SAMP057,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP101,526335,445947,78615,51813,26802,11273,14040,8204,5002
SAMP132,730775,402500,316299,213560,102724,49416,48298,15463,16780
SAMP082,257760,156301,91291,63637,27581,12427,2745,989,812
SAMP096,239933,187379,49636,41053,8583,4043,3698,1623,1537
SAMP037,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP065,171994,57774,106969,95953,11010,7394,2678,1398,706
SAMP087,110029,73529,35053,29168,5884,3524,1330,529,425
SAMP044,576299,538725,36244,23491,12752,7071,4655,2523,1563
SAMP083,107858,27141,76683,65196,11486,5378,4803,2224,1879
SAMP013,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP054,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP038,526335,445947,78615,51813,26802,11273,14040,8204,5002
SAMP123,271895,249381,19204,16922,2280,1122,567,101,83
SAMP007,257760,156301,91291,63637,27581,12427,2745,989,812
SAMP107,333240,240537,90305,65707,24596,14864,8853,4896,2951
SAMP014,768272,654749,108916,84898,24015,13845,8880,4210,3493
SAMP020,290094,150152,132620,112281,20334,9618,8108,2616,4354
SAMP119,768272,654749,108916,84898,24015,13845,8880,4210,3493
SAMP062,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP035,117694,24718,90939,84360,6576,4171,1786,940,531
SAMP103,142405,71839,67740,61358,6376,2488,2463,1236,928
SAMP084,256383,216538,35453,24705,10747,6040,3268,1526,1252
SAMP060,337586,241020,82275,69546,12722,10998,948,570,168
SAMP027,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP064,514029,468963,44295,16080,28213,14929,11496,6312,3572
SAMP021,310305,254821,49552,14106,35445,15124,17358,9294,4367
SAMP011,538028,399479,126711,101067,25606,10257,5803,3726,1157
SAMP093,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP078,209217,160848,46504,27435,19069,11719,6254,2872,2629
SAMP058,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP018,598101,293154,292871,222570,70288,64139,4051,2445,830
SAMP033,114166,65634,45731,36518,9212,2528,5884,3783,1708
SAMP036,160248,91157,66674,46049,20623,9506,8713,4545,2799
SAMP088,549687,205464,318081,227328,90728,62957,23887,15734,5017
SAMP098,5376387,5238405,132122,104704,27416,16201,9438,4589,2682
SAMP070,239933,187379,49636,41053,8583,4043,3698,1623,1537
SAMP006,160248,91157,66674,46049,20623,9506,8713,4545,2799
SAMP099,107451,72579,29942,22792,7143,2015,4379,217,996
SAMP001,741361,187974,537241,489187,48041,26692,18475,13035,3948
SAMP047,102000,21523,78723,69204,9518,5669,2834,1148,1105
SAMP095,336056,153364,175600,135227,40366,27681,10643,4095,4215
SAMP106,171091,116438,50330,36794,13535,8522,3806,2401,1063
SAMP129,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP126,669290,586660,70474,60023,10450,7045,2470,1336,838
SAMP072,160248,91157,66674,46049,20623,9506,8713,4545,2799
SAMP118,514029,468963,44295,16080,28213,14929,11496,6312,3572
SAMP076,378185,335003,41368,28359,13007,5618,6527,3319,2056
SAMP031,392245,372287,18335,13544,4787,2947,1336,746,429
SAMP090,333240,240537,90305,65707,24596,14864,8853,4896,2951
SAMP124,155940,75369,74689,56105,18581,13981,3456,2347,676
SAMP105,256383,216538,35453,24705,10747,6040,3268,1526,1252
SAMP073,741361,187974,537241,489187,48041,26692,18475,13035,3948
SAMP110,768272,654749,108916,84898,24015,13845,8880,4210,3493
SAMP097,190323,81315,103421,82575,20842,15683,3614,2249,748
SAMP002,669290,586660,70474,60023,10450,7045,2470,1336,838
SAMP104,333240,240537,90305,65707,24596,14864,8853,4896,2951
SAMP122,127653,62315,61377,39475,21901,14285,6910,4080,2119
SAMP042,168895,163627,4739,3275,1463,469,716,332,154
SAMP045,310305,254821,49552,14106,35445,15124,17358,9294,4367
SAMP089,674579,597810,71995,58037,13957,4668,8187,4602,2914
SAMP008,188735,88506,97267,67452,29810,18158,10208,6952,1987
SAMP116,194745,136587,56149,39461,16688,5694,8971,4586,2963
SAMP108,598101,293154,292871,222570,70288,64139,4051,2445,830
SAMP003,938649,928355,9003,7158,1845,530,931,385,265
SAMP071,336056,153364,175600,135227,40366,27681,10643,4095,4215
SAMP102,127653,62315,61377,39475,21901,14285,6910,4080,2119
SAMP077,290094,150152,132620,112281,20334,9618,8108,2616,4354
SAMP066,228625,199806,27825,16877,10948,3333,6994,3404,3081
SAMP074,598101,293154,292871,222570,70288,64139,4051,2445,830
SAMP130,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP055,127653,62315,61377,39475,21901,14285,6910,4080,2119
SAMP114,194745,136587,56149,39461,16688,5694,8971,4586,2963
SAMP051,158332,80327,71141,58727,12412,5839,5802,2740,2257
SAMP026,107451,72579,29942,22792,7143,2015,4379,217,996
SAMP061,750594,716258,32254,19675,12578,2752,7748,4048,2923
SAMP043,155940,75369,74689,56105,18581,13981,3456,2347,676
SAMP128,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP125,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP010,155940,75369,74689,56105,18581,13981,3456,2347,676
SAMP109,160248,91157,66674,46049,20623,9506,8713,4545,2799
SAMP085,188735,88506,97267,67452,29810,18158,10208,6952,1987
SAMP028,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP091,350874,149643,186101,167986,18104,12496,4502,1997,1493
SAMP056,848081,797578,47489,31003,16478,8934,6182,2763,2028
SAMP023,674579,597810,71995,58037,13957,4668,8187,4602,2914
SAMP113,110029,73529,35053,29168,5884,3524,1330,529,425
SAMP032,392245,372287,18335,13544,4787,2947,1336,746,429
SAMP131,757957,585993,165764,143737,22020,12946,6031,3131,2178
SAMP067,801459,306160,474526,401903,72598,52839,14451,4157,5675
SAMP009,190323,81315,103421,82575,20842,15683,3614,2249,748
SAMP022,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP039,923980,883260,36129,26597,9527,1836,518,329,121
SAMP053,333240,240537,90305,65707,24596,14864,8853,4896,2951
SAMP029,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP075,347091,259075,86122,53132,32988,16341,15078,7126,6009
SAMP121,347091,259075,86122,53132,32988,16341,15078,7126,6009
SAMP100,337586,241020,82275,69546,12722,10998,948,570,168
SAMP059,862595,828121,33473,29930,3542,1207,2001,1178,532
SAMP024,179999,96536,81094,60490,20603,10888,7991,4842,2169
SAMP012,350874,149643,186101,167986,18104,12496,4502,1997,1493
SAMP016,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP041,669290,586660,70474,60023,10450,7045,2470,1336,838
SAMP081,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP015,337586,241020,82275,69546,12722,10998,948,570,168
SAMP120,549687,205464,318081,227328,90728,62957,23887,15734,5017
SAMP030,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP117,938649,928355,9003,7158,1845,530,931,385,265
SAMP068,337586,241020,82275,69546,12722,10998,948,570,168
SAMP049,757957,585993,165764,143737,22020,12946,6031,3131,2178
SAMP115,256383,216538,35453,24705,10747,6040,3268,1526,1252
SAMP112,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP004,220839,88001,121062,108287,12773,10855,1102,173,803
SAMP019,126941,36689,88910,80163,8742,2148,4676,2371,1647
SAMP079,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP086,455176,335309,115347,79788,35557,24071,10146,6347,2937
SAMP034,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP092,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP048,290094,150152,132620,112281,20334,9618,8108,2616,4354
SAMP111,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP069,738273,692237,44545,25732,18813,8681,8933,5307,2994
SAMP080,862595,828121,33473,29930,3542,1207,2001,1178,532
SAMP005,176015,85543,86933,76364,10569,4402,5647,2942,2165
