Sobic.001G062300.v3.1,Sobic.002G211000.v3.1,Sobic.002G278700.v3.1,Sobic.008G179900.v3.1,Sobic.010G177800.v3.1,Sobic.001G291300.v3.1,Sobic.004G030200.v3.1,Sobic.010G229450.v3.1,Sobic.003G421700.v3.1,Barcode,libraryName,Block,Week,Replicate,Genotype,Condition,Sample.type,Day,Row,isFloweringWeek,Date.Harvested,Collection.Time,No.plants.pooled,FloweringJulianDate,FloweringDate,FloweringWeek,FloweringDay,Unreplicated,CompleteSampleTreatment,Timepoint,Group
13146,8732,3753,16907,1293,9668,14244,25850,10665,0907166L12,BOPWG,Block 12,14,3,RT430,Control,Leaves,Day98,Row6,FALSE,9/7/16,11:18 AM,10,216,2016-08-03,9,68,TRUE,RT430:14:Control,14,RT430:Control
9475,13138,23316,5748,15696,13980,17918,36636,1828,0622162L06,BOCAZ,Block 06,3,3,BT642,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,11:39 AM,15,216,2016-08-03,9,68,FALSE,BT642:03:Preflowering,3,BT642:Preflowering
7074,7834,9152,4755,4294,9344,11437,26990,248,0622162L14,BOCHA,Block 14,3,2,BT642,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,12:11 PM,15,230,2016-08-17,11,82,FALSE,BT642:03:Preflowering,3,BT642:Preflowering
7870,10026,23226,5368,4328,8503,12006,27613,355,0622162L17,BOPGS,Block 17,3,1,BT642,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,11:50 AM,15,230,2016-08-17,11,82,FALSE,BT642:03:Preflowering,3,BT642:Preflowering
20729,44829,94577,13835,10969,23953,41276,90258,1124,0629164L06,BOCBP,Block 06,4,3,BT642,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,10:42 AM,10,216,2016-08-03,9,68,FALSE,BT642:04:Preflowering,4,BT642:Preflowering
8555,14711,30539,6010,2908,6297,16230,31831,279,0629164L14,BOCHS,Block 14,4,2,BT642,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,11:29 AM,15,230,2016-08-17,11,82,FALSE,BT642:04:Preflowering,4,BT642:Preflowering
7799,13898,32285,6200,2888,7632,11543,31960,456,0629164L17,BOPHB,Block 17,4,1,BT642,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,11:42 AM,10,230,2016-08-17,11,82,FALSE,BT642:04:Preflowering,4,BT642:Preflowering
8170,16173,20825,5190,6675,14484,20120,34079,2551,0706165L06,BOCCA,Block 06,5,3,BT642,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,10:28AM,10,216,2016-08-03,9,68,FALSE,BT642:05:Preflowering,5,BT642:Preflowering
9264,23093,41627,6735,6258,8261,35574,29232,3067,0706165L14,BZNOS,Block 14,5,2,BT642,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,11:17AM,10,230,2016-08-17,11,82,FALSE,BT642:05:Preflowering,5,BT642:Preflowering
8956,29206,35223,9985,8308,6465,17542,46803,8984,0706165L17,BZNOT,Block 17,5,1,BT642,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,11:26AM,10,230,2016-08-17,11,82,FALSE,BT642:05:Preflowering,5,BT642:Preflowering
9569,20384,60772,5305,6346,10551,19570,28663,1633,0713166L06,BOCCS,Block 06,6,3,BT642,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,10:34 AM,10,216,2016-08-03,9,68,FALSE,BT642:06:Preflowering,6,BT642:Preflowering
8613,21723,58088,7646,6546,6230,19205,30548,8882,0713166L14,BOCNB,Block 14,6,2,BT642,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,11:15 AM,10,230,2016-08-17,11,82,FALSE,BT642:06:Preflowering,6,BT642:Preflowering
9500,17317,52708,7595,5205,3092,19063,27347,11214,0713166L17,BOPHT,Block 17,6,1,BT642,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,11:24 AM,10,230,2016-08-17,11,82,FALSE,BT642:06:Preflowering,6,BT642:Preflowering
10777,24539,37070,6671,6168,8207,24126,42293,2901,0720167L06,BOCGB,Block 06,7,3,BT642,Preflowering,Leaves,Day49,Row7,FALSE,7/20/16,10:39 AM,10,216,2016-08-03,9,68,TRUE,BT642:07:Preflowering,7,BT642:Preflowering
15652,34805,56410,12877,6773,3883,13331,29789,10976,0727168L14,BOCPS,Block 14,8,2,BT642,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,11:21 AM,10,230,2016-08-17,11,82,FALSE,BT642:08:Preflowering,8,BT642:Preflowering
11275,43428,79545,8636,1827,2295,15083,44477,2965,0727168L06,BOCUT,Block 06,8,3,BT642,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,10:46 AM,10,216,2016-08-03,9,68,FALSE,BT642:08:Preflowering,8,BT642:Preflowering
13183,20631,30126,8751,2180,4098,14433,17588,4602,0727168L17,BOPAG,Block 17,8,1,BT642,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,11:46 AM,10,230,2016-08-17,11,82,FALSE,BT642:08:Preflowering,8,BT642:Preflowering
8345,23462,17751,6989,10405,14911,14375,23584,13202,0803169L14,BOCSH,Block 14,9,2,BT642,Preflowering,Leaves,Day63,Row9,FALSE,8/3/16,11:24 AM,10,230,2016-08-17,11,82,FALSE,BT642:09:Preflowering,9,BT642:Preflowering
8150,15011,24765,6456,4376,9467,29030,25634,7646,0803169L06,BOCWC,Block 06,9,3,BT642,Preflowering,Leaves,Day63,Row9,TRUE,8/3/16,10:45 AM,10,216,2016-08-03,9,68,FALSE,BT642:09:Preflowering,9,BT642:Preflowering
10662,28965,6476,8225,5942,11759,23425,71655,33791,0803169L17,BOPBA,Block 17,9,1,BT642,Preflowering,Leaves,Day63,Row9,FALSE,8/3/16,11:51 AM,10,230,2016-08-17,11,82,FALSE,BT642:09:Preflowering,9,BT642:Preflowering
16730,30557,16856,8822,42773,28062,41380,58999,50869,0810162L14,BOCTB,Block 14,10,2,BT642,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,11:39 AM,10,230,2016-08-17,11,82,FALSE,BT642:10:Preflowering,10,BT642:Preflowering
13017,24939,9379,6525,14778,13883,29445,59395,14738,0810162L06,BOCWZ,Block 06,10,3,BT642,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,10:58 AM,10,216,2016-08-03,9,68,FALSE,BT642:10:Preflowering,10,BT642:Preflowering
9446,20258,11721,6137,18131,23179,22641,28045,26724,0810162L17,BOPBX,Block 17,10,1,BT642,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,12:01 PM,10,230,2016-08-17,11,82,FALSE,BT642:10:Preflowering,10,BT642:Preflowering
15028,29793,8975,7665,86181,23462,18011,32266,105409,0817163L14,BOCTY,Block 14,11,2,BT642,Preflowering,Leaves,Day77,Row3,TRUE,8/17/16,12:19 PM,10,230,2016-08-17,11,82,FALSE,BT642:11:Preflowering,11,BT642:Preflowering
9281,34290,8340,5906,17235,15804,10579,59715,67218,0817163L06,BOCXW,Block 06,11,3,BT642,Preflowering,Leaves,Day77,Row3,FALSE,8/17/16,11:38 AM,10,216,2016-08-03,9,68,FALSE,BT642:11:Preflowering,11,BT642:Preflowering
14397,23284,8985,7905,44520,27004,17050,33379,80181,0817163L17,BOPCT,Block 17,11,1,BT642,Preflowering,Leaves,Day77,Row3,TRUE,8/17/16,12:45 PM,10,230,2016-08-17,11,82,FALSE,BT642:11:Preflowering,11,BT642:Preflowering
16167,37267,3480,8496,35575,20000,33971,65415,37083,0824164L06,BOPTN,Block 06,12,3,BT642,Preflowering,Leaves,Day84,Row4,FALSE,8/24/16,11:07 AM,10,216,2016-08-03,9,68,FALSE,BT642:12:Preflowering,12,BT642:Preflowering
20192,37745,5935,10025,61784,26514,40480,41237,63271,0824164L14,BZNPB,Block 14,12,2,BT642,Preflowering,Leaves,Day84,Row4,FALSE,8/24/16,11:49 AM,10,230,2016-08-17,11,82,FALSE,BT642:12:Preflowering,12,BT642:Preflowering
19163,36950,5307,11277,60371,29982,46172,48246,90434,0824164L17,BZNPC,Block 17,12,1,BT642,Preflowering,Leaves,Day84,Row4,FALSE,8/24/16,12:18 PM,10,230,2016-08-17,11,82,FALSE,BT642:12:Preflowering,12,BT642:Preflowering
10872,32318,4498,8378,19071,22778,25170,44522,44202,0831165L14,BOCNY,Block 14,13,2,BT642,Preflowering,Leaves,Day91,Row5,NA,8/31/16,11:38 AM,10,NA,NA,NA,NA,FALSE,BT642:13:Preflowering,13,BT642:Preflowering
14503,41061,4823,11226,22681,27368,30799,50952,69490,0831165L17,BOPNO,Block 17,13,1,BT642,Preflowering,Leaves,Day91,Row5,NA,8/31/16,12:20 PM,10,NA,NA,NA,NA,FALSE,BT642:13:Preflowering,13,BT642:Preflowering
12387,27485,1547,9677,21585,14804,22753,73563,22372,0831165L06,BOPUC,Block 06,13,3,BT642,Preflowering,Leaves,Day91,Row5,NA,8/31/16,11:02 AM,10,NA,NA,NA,NA,FALSE,BT642:13:Preflowering,13,BT642:Preflowering
14133,27424,2865,10163,35272,19267,28324,81558,24359,0907166L06,BOPUZ,Block 06,14,3,BT642,Preflowering,Leaves,Day98,Row6,FALSE,9/7/16,10:58 AM,10,216,2016-08-03,9,68,TRUE,BT642:14:Preflowering,14,BT642:Preflowering
12975,20810,2471,8396,24601,16178,26879,23056,26638,0803169L04,BOCSA,Block 04,9,2,BT642,Postflowering,Leaves,Day63,Row9,TRUE,8/3/16,10:29 AM,10,210,2016-07-28,9,62,FALSE,BT642:09:Postflowering,9,BT642:Postflowering
21701,42027,5162,13181,58622,27251,33453,51825,98752,0803169L21,BOCWS,Block 21,9,3,BT642,Postflowering,Leaves,Day63,Row9,TRUE,8/3/16,12:33 PM,10,210,2016-07-28,9,62,FALSE,BT642:09:Postflowering,9,BT642:Postflowering
19095,28674,3876,9760,26624,23488,33155,37345,64640,0803169L15,BOPAW,Block 15,9,1,BT642,Postflowering,Leaves,Day63,Row9,TRUE,8/3/16,11:32 AM,10,210,2016-07-28,9,62,FALSE,BT642:09:Postflowering,9,BT642:Postflowering
24664,56723,16449,20811,53001,20253,57523,119092,9082,0810162L04,BOCSX,Block 04,10,2,BT642,Postflowering,Leaves,Day70,Row2,FALSE,8/10/16,10:36 AM,10,210,2016-07-28,9,62,FALSE,BT642:10:Postflowering,10,BT642:Postflowering
9726,28545,5275,7629,12877,11228,13383,64907,36203,0810162L21,BOCXN,Block 21,10,3,BT642,Postflowering,Leaves,Day70,Row2,FALSE,8/10/16,12:35 PM,10,210,2016-07-28,9,62,FALSE,BT642:10:Postflowering,10,BT642:Postflowering
9136,20902,10172,9113,2868,2746,12128,68348,7046,0810162L15,BOPBS,Block 15,10,1,BT642,Postflowering,Leaves,Day70,Row2,FALSE,8/10/16,11:46 AM,10,210,2016-07-28,9,62,FALSE,BT642:10:Postflowering,10,BT642:Postflowering
14190,32183,8303,15546,8536,5029,18675,75181,12700,0817163L04,BOCTT,Block 04,11,2,BT642,Postflowering,Leaves,Day77,Row3,FALSE,8/17/16,11:22 AM,10,210,2016-07-28,9,62,FALSE,BT642:11:Postflowering,11,BT642:Postflowering
12024,30448,1934,11572,24177,10495,7084,107729,14632,0817163L21,BOCYC,Block 21,11,3,BT642,Postflowering,Leaves,Day77,Row3,FALSE,8/17/16,1:17 PM,10,210,2016-07-28,9,62,FALSE,BT642:11:Postflowering,11,BT642:Postflowering
10062,20949,1276,11842,1253,2677,6459,54951,4020,0817163L15,BOPCN,Block 15,11,1,BT642,Postflowering,Leaves,Day77,Row3,FALSE,8/17/16,12:26 PM,10,210,2016-07-28,9,62,FALSE,BT642:11:Postflowering,11,BT642:Postflowering
13931,30956,1299,11882,13418,9074,14570,154872,10053,0824164L21,BOPTW,Block 21,12,3,BT642,Postflowering,Leaves,Day84,Row4,FALSE,8/24/16,1:00 PM,10,210,2016-07-28,9,62,TRUE,BT642:12:Postflowering,12,BT642:Postflowering
10603,17678,289,10265,7961,4989,24995,38599,6238,0831165L04,BOCNT,Block 04,13,2,BT642,Postflowering,Leaves,Day91,Row5,NA,8/31/16,10:41 AM,10,NA,NA,NA,NA,FALSE,BT642:13:Postflowering,13,BT642:Postflowering
12393,22041,1706,10282,10304,8304,16307,44412,17677,0831165L15,BOPNC,Block 15,13,1,BT642,Postflowering,Leaves,Day91,Row5,NA,8/31/16,11:58 AM,10,NA,NA,NA,NA,FALSE,BT642:13:Postflowering,13,BT642:Postflowering
12495,20022,679,15101,6555,4879,10515,87976,5514,0831165L21,BOPUS,Block 21,13,3,BT642,Postflowering,Leaves,Day91,Row5,NA,8/31/16,1:06 PM,10,NA,NA,NA,NA,FALSE,BT642:13:Postflowering,13,BT642:Postflowering
17515,46545,4551,14292,19370,6689,12329,86022,18023,0907166L21,BOPWN,Block 21,14,3,BT642,Postflowering,Leaves,Day98,Row6,FALSE,9/7/16,12:25 PM,10,210,2016-07-28,9,62,TRUE,BT642:14:Postflowering,14,BT642:Postflowering
8168,12140,3164,3425,3891,8432,13709,4342,1264,0615163L11,BOCAS,Block 11,2,3,BT642,Control,Leaves,Day14, Row3,FALSE,6/15/16,11:00:00,20,210,2016-07-28,9,62,FALSE,BT642:02:Control,2,BT642:Control
7695,12673,3933,4047,2829,5370,16923,3670,1208,0615163L19,BOCGT,Block 19,2,2,BT642,Control,Leaves,Day14, Row3,FALSE,6/15/16,11:47 AM,20,210,2016-07-28,9,62,FALSE,BT642:02:Control,2,BT642:Control
8420,15143,3144,3106,3019,6604,19660,4594,887,0615163L02,BOPGC,Block 02,2,1,BT642,Control,Leaves,Day14, Row3,FALSE,6/15/16,10:41 AM,20,210,2016-07-28,9,62,FALSE,BT642:02:Control,2,BT642:Control
10566,20392,9324,6426,24029,27293,16858,33901,7745,0622162L11,BOCBB,Block 11,3,3,BT642,Control,Leaves,Day21, Row2,FALSE,6/22/16,12:00 PM,15,210,2016-07-28,9,62,FALSE,BT642:03:Control,3,BT642:Control
11519,11548,6453,4637,12016,20256,20563,20724,3359,0622162L19,BOCHC,Block 19,3,2,BT642,Control,Leaves,Day21, Row2,FALSE,6/22/16,11:10 AM,15,210,2016-07-28,9,62,FALSE,BT642:03:Control,3,BT642:Control
21469,16520,14270,8805,40075,33882,33962,27442,4095,0622162L02,CCHPZ,Block 02,3,1,BT642,Control,Leaves,Day21, Row2,FALSE,6/22/16,10:48 AM,15,210,2016-07-28,9,62,FALSE,BT642:03:Control,3,BT642:Control
10848,13311,25361,5913,14459,11499,18293,22911,1296,0629164L19,BOCHU,Block 19,4,2,BT642,Control,Leaves,Day28,Row4,FALSE,6/29/16,12:02 PM,10,210,2016-07-28,9,62,FALSE,BT642:04:Control,4,BT642:Control
8134,10699,25199,4253,3403,4380,16268,13998,859,0629164L02,BOPGZ,Block 02,4,1,BT642,Control,Leaves,Day28,Row4,FALSE,6/29/16,10:16 AM,10,210,2016-07-28,9,62,FALSE,BT642:04:Control,4,BT642:Control
11913,11625,4007,5266,27111,30095,35516,13228,4937,0706165L11,BOCCC,Block 11,5,3,BT642,Control,Leaves,Day35,Row5,FALSE,7/6/16,10:39AM,10,210,2016-07-28,9,62,FALSE,BT642:05:Control,5,BT642:Control
14849,14587,1727,5810,49696,34750,37652,15596,2211,0706165L02,BZNOP,Block 02,5,1,BT642,Control,Leaves,Day35,Row5,FALSE,7/6/16,10:02AM,10,210,2016-07-28,9,62,FALSE,BT642:05:Control,5,BT642:Control
14445,23700,2218,7329,75519,45866,46680,60746,37962,0706165L19,BZNOU,Block 19,5,2,BT642,Control,Leaves,Day35,Row5,FALSE,7/6/16,11:53AM,10,210,2016-07-28,9,62,FALSE,BT642:05:Control,5,BT642:Control
15731,15620,6025,6381,44543,32562,27989,24495,22500,0713166L11,BOCCU,Block 11,6,3,BT642,Control,Leaves,Day42,Row6,FALSE,7/13/16,10:47 AM,10,210,2016-07-28,9,62,FALSE,BT642:06:Control,6,BT642:Control
11190,16072,4418,4963,33428,21184,20640,14902,22242,0713166L19,BOCNG,Block 19,6,2,BT642,Control,Leaves,Day42,Row6,FALSE,7/13/16,11:46 AM,10,210,2016-07-28,9,62,FALSE,BT642:06:Control,6,BT642:Control
16046,17712,4406,4625,48034,28589,30851,27074,16636,0713166L02,BOPHP,Block 02,6,1,BT642,Control,Leaves,Day42,Row6,FALSE,7/13/16,10:22 AM,10,210,2016-07-28,9,62,FALSE,BT642:06:Control,6,BT642:Control
19000,14763,6026,6863,52845,36827,41625,28805,18661,0720167L11,BOCGG,Block 11,7,3,BT642,Control,Leaves,Day49,Row7,FALSE,7/20/16,10:46 AM,10,210,2016-07-28,9,62,TRUE,BT642:07:Control,7,BT642:Control
15374,28236,2661,11351,77447,24214,21388,52025,62892,0727168L19,BOCPT,Block 19,8,2,BT642,Control,Leaves,Day56,Row8,FALSE,7/27/16,12:03 PM,10,210,2016-07-28,9,62,FALSE,BT642:08:Control,8,BT642:Control
16140,41492,3792,9975,70263,26911,23358,80386,59399,0727168L11,BOCUW,Block 11,8,3,BT642,Control,Leaves,Day56,Row8,FALSE,7/27/16,10:53 AM,10,210,2016-07-28,9,62,FALSE,BT642:08:Control,8,BT642:Control
15268,22959,3522,9889,46052,32394,35701,44693,49506,0727168L02,BOPAB,Block 02,8,1,BT642,Control,Leaves,Day56,Row8,FALSE,7/27/16,10:09 AM,10,210,2016-07-28,9,62,FALSE,BT642:08:Control,8,BT642:Control
13828,41986,4520,9753,34040,21760,18738,82595,80170,0803169L19,BOCSO,Block 19,9,2,BT642,Control,Leaves,Day63,Row9,TRUE,8/3/16,12:11 PM,10,210,2016-07-28,9,62,FALSE,BT642:09:Control,9,BT642:Control
17974,35182,4338,11606,55689,25944,35365,55745,41526,0803169L11,BOCWH,Block 11,9,3,BT642,Control,Leaves,Day63,Row9,TRUE,8/3/16,10:59 AM,10,210,2016-07-28,9,62,FALSE,BT642:09:Control,9,BT642:Control
10789,21540,2146,5555,22147,14472,18591,34630,14892,0803169L02,BOPAT,Block 02,9,1,BT642,Control,Leaves,Day63,Row9,TRUE,8/3/16,10:12 AM,10,210,2016-07-28,9,62,FALSE,BT642:09:Control,9,BT642:Control
12309,45010,8188,14028,56591,23900,13481,81026,46173,0810162L19,BOCTG,Block 19,10,2,BT642,Control,Leaves,Day70,Row2,FALSE,8/10/16,12:20 PM,10,210,2016-07-28,9,62,FALSE,BT642:10:Control,10,BT642:Control
12342,22962,3959,7905,19629,15040,24433,39969,16119,0810162L11,BOCXB,Block 11,10,3,BT642,Control,Leaves,Day70,Row2,FALSE,8/10/16,11:03 AM,10,210,2016-07-28,9,62,FALSE,BT642:10:Control,10,BT642:Control
19404,22016,3281,8025,24464,16298,39104,36289,10184,0810162L02,BOPBO,Block 02,10,1,BT642,Control,Leaves,Day70,Row2,FALSE,8/10/16,10:08 AM,10,210,2016-07-28,9,62,FALSE,BT642:10:Control,10,BT642:Control
15591,35268,2075,17647,53879,28106,21261,82128,39273,0817163L19,BOCUA,Block 19,11,2,BT642,Control,Leaves,Day77,Row3,FALSE,8/17/16,1:01 PM,10,210,2016-07-28,9,62,FALSE,BT642:11:Control,11,BT642:Control
13883,37936,2929,14273,45088,24181,15001,85881,55668,0817163L11,BOCXY,Block 11,11,3,BT642,Control,Leaves,Day77,Row3,FALSE,8/17/16,11:49 AM,10,210,2016-07-28,9,62,FALSE,BT642:11:Control,11,BT642:Control
15838,24317,3313,12226,28225,19894,23569,45951,41807,0817163L02,BOPCG,Block 02,11,1,BT642,Control,Leaves,Day77,Row3,FALSE,8/17/16,11:01 AM,10,210,2016-07-28,9,62,FALSE,BT642:11:Control,11,BT642:Control
16184,31424,1352,16085,39081,26733,24116,77381,13762,0824164L11,BOPTP,Block 11,12,3,BT642,Control,Leaves,Day84,Row4,FALSE,8/24/16,11:20 AM,10,210,2016-07-28,9,62,FALSE,BT642:12:Control,12,BT642:Control
16995,35704,2941,17100,28964,23626,15393,66580,27106,0824164L19,BZNPG,Block 19,12,2,BT642,Control,Leaves,Day84,Row4,FALSE,8/24/16,12:40 PM,10,210,2016-07-28,9,62,FALSE,BT642:12:Control,12,BT642:Control
32100,32661,2516,21229,37819,32290,71954,63750,12730,0824164L02,CCHPY,Block 02,12,1,BT642,Control,Leaves,Day84,Row4,FALSE,8/24/16,10:26 AM,10,210,2016-07-28,9,62,FALSE,BT642:12:Control,12,BT642:Control
21407,31800,1405,18204,16995,25830,31700,52951,25088,0831165L19,BOCOA,Block 19,13,2,BT642,Control,Leaves,Day91,Row5,NA,8/31/16,12:38 PM,10,NA,NA,NA,NA,FALSE,BT642:13:Control,13,BT642:Control
17989,19716,772,18190,25092,22792,34971,35905,10414,0831165L02,BOPNA,Block 02,13,1,BT642,Control,Leaves,Day91,Row5,NA,8/31/16,10:14 AM,10,NA,NA,NA,NA,FALSE,BT642:13:Control,13,BT642:Control
17525,28616,696,15835,34508,24898,32864,61244,14694,0831165L11,BOPUH,Block 11,13,3,BT642,Control,Leaves,Day91,Row5,NA,8/31/16,11:18 AM,10,NA,NA,NA,NA,FALSE,BT642:13:Control,13,BT642:Control
17879,31665,1279,21886,51362,23605,10233,60234,27989,0907166L11,BOPWB,Block 11,14,3,BT642,Control,Leaves,Day98,Row6,FALSE,9/7/16,11:10 AM,10,210,2016-07-28,9,62,TRUE,BT642:14:Control,14,BT642:Control
